step,split,loss,acc,ce,lr,error,sev1,sev2,sev3,sev4,sev5,adaptive_sharpness,hessian_trace,hessian_top_eigenvalue
0,train,2.005516825272487,0.2796875,2.005516825272487,0.1,,,,,,,,,
0,val,1.6013773105621338,0.411,,,0.589,,,,,,,,
1,train,1.447154430242685,0.4682091346153846,1.447154430242685,0.09972609476841367,,,,,,,,,
1,val,1.3900567054748536,0.4971,,,0.5029,,,,,,,,
2,train,1.1401269344183116,0.5891426282051282,1.1401269344183116,0.09890738003669028,,,,,,,,,
2,val,1.103410943031311,0.6138,,,0.3862,,,,,,,,
3,train,0.9087176173161238,0.6776041666666667,0.9087176173161238,0.09755282581475767,,,,,,,,,
3,val,1.150072481918335,0.6341,,,0.3659,,,,,,,,
4,train,0.7551691613136193,0.7339142628205129,0.7551691613136193,0.09567727288213003,,,,,,,,,
4,val,0.7561424706459046,0.7383,,,0.26170000000000004,,,,,,,,
5,train,0.645103870676114,0.7747796474358974,0.645103870676114,0.09330127018922194,,,,,,,,,
5,val,0.6902465530395507,0.7585,,,0.24150000000000005,,,,,,,,
6,train,0.5753224208568916,0.8024038461538462,0.5753224208568916,0.09045084971874737,,,,,,,,,
6,val,0.5986511713027954,0.7929,,,0.20709999999999995,,,,,,,,
7,train,0.5299659333167932,0.8162860576923077,0.5299659333167932,0.0871572412738697,,,,,,,,,
7,val,0.6549598580360413,0.78,,,0.21999999999999997,,,,,,,,
8,train,0.49482232676102567,0.8303485576923076,0.49482232676102567,0.0834565303179429,,,,,,,,,
8,val,0.5761187614440918,0.8028,,,0.19720000000000004,,,,,,,,
9,train,0.46223022704705213,0.8430288461538461,0.46223022704705213,0.07938926261462365,,,,,,,,,
9,val,0.7336355677127838,0.7619,,,0.23809999999999998,,,,,,,,
10,train,0.4383092827521838,0.8494591346153846,0.4383092827521838,0.07499999999999998,,,,,,,,,
10,val,0.5832695348739624,0.8037,,,0.19630000000000003,,,,,,,,
11,train,0.4111631692220003,0.8600160256410256,0.4111631692220003,0.07033683215379001,,,,,,,,,
11,val,0.48979819688797,0.8329,,,0.16710000000000003,,,,,,,,
12,train,0.38650757712431444,0.8669070512820513,0.38650757712431444,0.06545084971874737,,,,,,,,,
12,val,0.4997667653083801,0.8397,,,0.1603,,,,,,,,
13,train,0.3649954808446077,0.8740985576923077,0.3649954808446077,0.06039558454088796,,,,,,,,,
13,val,0.46788756494522094,0.8386,,,0.1614,,,,,,,,
14,train,0.33884000327342595,0.8826121794871795,0.33884000327342595,0.05522642316338268,,,,,,,,,
14,val,0.44021799297332764,0.8543,,,0.14570000000000005,,,,,,,,
15,train,0.3153862121395576,0.8908453525641026,0.3153862121395576,0.05000000000000001,,,,,,,,,
15,val,0.44062197074890136,0.854,,,0.14600000000000002,,,,,,,,
16,train,0.2876637503122672,0.9009014423076923,0.2876637503122672,0.04477357683661733,,,,,,,,,
16,val,0.39378754625320433,0.8677,,,0.13229999999999997,,,,,,,,
17,train,0.2607741217009532,0.9110977564102564,0.2607741217009532,0.03960441545911203,,,,,,,,,
17,val,0.4132443572998047,0.8682,,,0.13180000000000003,,,,,,,,
18,train,0.23683654602903587,0.9189302884615385,0.23683654602903587,0.03454915028125263,,,,,,,,,
18,val,0.3303912811756134,0.8889,,,0.11109999999999998,,,,,,,,
19,train,0.21121720749980363,0.9271634615384615,0.21121720749980363,0.02966316784621,,,,,,,,,
19,val,0.36136366186141966,0.8807,,,0.11929999999999996,,,,,,,,
20,train,0.18749934337460078,0.9349158653846154,0.18749934337460078,0.025000000000000012,,,,,,,,,
20,val,0.3333458714008331,0.8922,,,0.1078,,,,,,,,
21,train,0.15651583328652077,0.946895032051282,0.15651583328652077,0.02061073738537635,,,,,,,,,
21,val,0.3185731190681457,0.8977,,,0.10229999999999995,,,,,,,,
22,train,0.1321721102278202,0.9542868589743589,0.1321721102278202,0.016543469682057107,,,,,,,,,
22,val,0.3001979832649231,0.9068,,,0.09319999999999995,,,,,,,,
23,train,0.10522111777502757,0.9645432692307693,0.10522111777502757,0.012842758726130301,,,,,,,,,
23,val,0.26533816685676576,0.9169,,,0.08309999999999995,,,,,,,,
24,train,0.08267491968969504,0.9725761217948717,0.08267491968969504,0.009549150281252635,,,,,,,,,
24,val,0.25904217228889465,0.9196,,,0.08040000000000003,,,,,,,,
25,train,0.061384460384933615,0.9796073717948718,0.061384460384933615,0.006698729810778067,,,,,,,,,
25,val,0.24867955870628358,0.9209,,,0.07909999999999995,,,,,,,,
26,train,0.04483336040941186,0.9860376602564103,0.04483336040941186,0.004322727117869953,,,,,,,,,
26,val,0.24145623717308046,0.927,,,0.07299999999999995,,,,,,,,
27,train,0.03604634306990565,0.9891426282051282,0.03604634306990565,0.002447174185242324,,,,,,,,,
27,val,0.23352381582260132,0.9289,,,0.07110000000000005,,,,,,,,
28,train,0.03155067537266475,0.9909655448717949,0.03155067537266475,0.0010926199633097158,,,,,,,,,
28,val,0.23094620003700256,0.9299,,,0.07010000000000005,,,,,,,,
29,train,0.027775688094492906,0.9926682692307692,0.027775688094492906,0.00027390523158633,,,,,,,,,
29,val,0.23148450555801392,0.9312,,,0.06879999999999997,,,,,,,,
29,eval_id,0.23148450474739074,0.9312,,,0.06879999999999997,,,,,,,,
29,eval_ood_mean,,0.701484,,,0.298516,0.8442466666666667,0.78386,0.71824,0.6405133333333333,0.52056,,,
0,geometry,,,,,,,,,,,0.043606143444776535,592.583722795759,41.5142822265625
