step,split,loss,acc,kd,ce,lr,error,sev1,sev2,sev3,sev4,sev5,adaptive_sharpness,hessian_trace,hessian_top_eigenvalue
0,train,8.42249187811827,0.40620993589743587,9.138064203506861,1.9823431323736143,0.1,,,,,,,,,
0,val,2.0655599371910096,0.5025,,,,0.49750000000000005,,,,,,,,
1,train,5.011193049259675,0.6405849358974359,5.417441618136871,1.3549570861535194,0.09972609476841367,,,,,,,,,
1,val,2.1290652992248535,0.5938,,,,0.4062,,,,,,,,
2,train,3.4679273764292398,0.7407652243589744,3.7409214777824205,1.0109812496564328,0.09890738003669028,,,,,,,,,
2,val,1.13604810256958,0.7416,,,,0.25839999999999996,,,,,,,,
3,train,2.7601905590448625,0.7861778846153846,2.9731496028411084,0.8435598520896374,0.09755282581475767,,,,,,,,,
3,val,1.6818258266448975,0.6719,,,,0.32809999999999995,,,,,,,,
4,train,2.3763624047621703,0.8108774038461538,2.558066329283592,0.7410276946349021,0.09567727288213003,,,,,,,,,
4,val,1.1265789699554443,0.7613,,,,0.23870000000000002,,,,,,,,
5,train,2.0807248800228804,0.8295472756410256,2.238047259281843,0.6648239941169054,0.09330127018922194,,,,,,,,,
5,val,0.866844912147522,0.7975,,,,0.2025,,,,,,,,
6,train,1.8774045977837,0.8435496794871795,2.019396867507543,0.5994746529903168,0.09045084971874737,,,,,,,,,
6,val,0.7164321613311767,0.8315,,,,0.16849999999999998,,,,,,,,
7,train,1.738141867136344,0.8526442307692308,1.868861687489045,0.5616639005832184,0.0871572412738697,,,,,,,,,
7,val,0.7081114381790161,0.8351,,,,0.16490000000000005,,,,,,,,
8,train,1.6308095317620497,0.8623798076923077,1.7541439768595573,0.5207999641696612,0.0834565303179429,,,,,,,,,
8,val,0.8903355527877808,0.8061,,,,0.19389999999999996,,,,,,,,
9,train,1.503334788634227,0.8706330128205129,1.6162455577116746,0.4871382735096491,0.07938926261462365,,,,,,,,,
9,val,0.8485027797698974,0.8106,,,,0.1894,,,,,,,,
10,train,1.4075378988033687,0.8788661858974359,1.513477333692404,0.4540833407105544,0.07499999999999998,,,,,,,,,
10,val,0.6393702422142029,0.8487,,,,0.1513,,,,,,,,
11,train,1.3521587582734915,0.8828926282051283,1.4545878803118681,0.43029700727799,0.07033683215379001,,,,,,,,,
11,val,0.7903357960939408,0.8232,,,,0.17679999999999996,,,,,,,,
12,train,1.229498304770543,0.8927884615384616,1.3228477549858582,0.3893535475509289,0.06545084971874737,,,,,,,,,
12,val,0.5899034500598908,0.8562,,,,0.14380000000000004,,,,,,,,
13,train,1.1726661888452676,0.8962940705128205,1.2614033425465607,0.3740320972525156,0.06039558454088796,,,,,,,,,
13,val,0.5690095150947571,0.861,,,,0.139,,,,,,,,
14,train,1.0897537424014165,0.904667467948718,1.1730461936730605,0.3401219192796793,0.05522642316338268,,,,,,,,,
14,val,0.6579581471443177,0.8522,,,,0.14780000000000004,,,,,,,,
15,train,1.0267613218380855,0.9096955128205129,1.1055980540238894,0.3172310009598732,0.05000000000000001,,,,,,,,,
15,val,0.4970760726451874,0.8758,,,,0.12419999999999998,,,,,,,,
16,train,0.9097487231095632,0.9205128205128205,0.9805944398427621,0.2721374638569661,0.04477357683661733,,,,,,,,,
16,val,0.47368183546066284,0.8821,,,,0.1179,,,,,,,,
17,train,0.8426127828848667,0.9265625,0.9085712177631182,0.2489870793162248,0.03960441545911203,,,,,,,,,
17,val,0.45720337867736816,0.8886,,,,0.11140000000000005,,,,,,,,
18,train,0.7764324518350455,0.9338341346153847,0.8383417517710955,0.2192489633957545,0.03454915028125263,,,,,,,,,
18,val,0.49954231367111207,0.8824,,,,0.11760000000000004,,,,,,,,
19,train,0.7010559799579473,0.940224358974359,0.757367563706178,0.19425189505593898,0.02966316784621,,,,,,,,,
19,val,0.5045942070960998,0.8846,,,,0.11539999999999995,,,,,,,,
20,train,0.6372007401325763,0.9475761217948718,0.689240690989372,0.16884132641343735,0.025000000000000012,,,,,,,,,
20,val,0.3649411364078522,0.9109,,,,0.08909999999999996,,,,,,,,
21,train,0.5562713019358806,0.9554887820512821,0.6025045739534574,0.1401719976359835,0.02061073738537635,,,,,,,,,
21,val,0.35398770937919616,0.9123,,,,0.0877,,,,,,,,
22,train,0.492447391916544,0.9613982371794871,0.5343061038316824,0.11571911111569558,0.016543469682057107,,,,,,,,,
22,val,0.3263684189081192,0.9172,,,,0.08279999999999998,,,,,,,,
23,train,0.4291581322367375,0.9689302884615385,0.46644408504168194,0.09358467197236725,0.012842758726130301,,,,,,,,,
23,val,0.303438360786438,0.9243,,,,0.07569999999999999,,,,,,,,
24,train,0.38061212595456684,0.9735977564102564,0.41396937568982445,0.08039697491301176,0.009549150281252635,,,,,,,,,
24,val,0.28962345700263975,0.9253,,,,0.07469999999999999,,,,,,,,
25,train,0.34238038586500363,0.9760817307692308,0.3725142302803504,0.0711758650934849,0.006698729810778067,,,,,,,,,
25,val,0.2878981159210205,0.9248,,,,0.07520000000000004,,,,,,,,
26,train,0.3114376886532857,0.9782852564102564,0.3388542146254808,0.06468903579008885,0.004322727117869953,,,,,,,,,
26,val,0.2851825192451477,0.9272,,,,0.07279999999999998,,,,,,,,
27,train,0.296110567297691,0.9789663461538461,0.32204646514012264,0.06268756575882435,0.002447174185242324,,,,,,,,,
27,val,0.27662253398895265,0.9269,,,,0.07310000000000005,,,,,,,,
28,train,0.28491837573357115,0.9794471153846154,0.3098308414602891,0.060706260586635044,0.0010926199633097158,,,,,,,,,
28,val,0.27296701831817627,0.9291,,,,0.07089999999999996,,,,,,,,
29,train,0.28084890383940475,0.9799078525641025,0.30536243189603857,0.06022721184716106,0.00027390523158633,,,,,,,,,
29,val,0.27593082585334777,0.9279,,,,0.07210000000000005,,,,,,,,
28,eval_id,0.27296701579093935,0.9291,,,,0.07089999999999996,,,,,,,,
